Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,Priority Sector (Y/N),Priority Sector,passers_2023_agg,examinees_2023_agg,passers_2024_agg,examinees_2024_agg,SOC,AIOE,Complementarity,C-AIOE,Classification
Estimator,Transportation and Storage,Warehousing and storage,Higher Education,Yes,No,Tourism,Tourism,6180.0,18582.0,6835.0,18436.0,17-2199,0.5129253723597855,0.6382638888888889,0.3642126341929727,Augmented
Ethics Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes,N,N,,,,,25-1199,0.8006554663832743,0.695328282828283,0.5228320632627548,Augmented
EU Policy Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,13-1199,1.4540568100648037,0.605625,1.0799401099752135,Augmented
Events Assistant,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,13-1121,0.3580352965169154,0.6833333333333332,0.2380934721837488,Augmented
Executive Assistant (Airline),Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,Y,Financial Services,,,,,43-6011,1.0600457450196432,0.5005555555555555,0.8986832260555421,Displaced
Executive Secretary,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,Y,Financial Services,,,,,43-6011,1.0600457450196432,0.5005555555555555,0.8986832260555421,Displaced
Exercise Physiologist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,No,Y,Health,,,,,19-1099,1.1962758695210862,0.6164937943262411,0.8754819808756202,Augmented
Exhibit Design Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,N,N,,,,,27-1029,0.733024170282144,0.5569264403292181,0.580120381099911,Displaced
Exhibits Specialist,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,N,,,,,25-4012,0.7188278381031682,0.6888888888888888,0.4740270243491449,Augmented
Export Brokerage Clerk,Transportation and Storage,"Freight air transport, Sea and coastal water transport",Higher Education,No,Yes,Tourism,Tourism,,,,,33-3051,-0.7219361463874624,0.6970833333333334,-0.4701609153348349,Protected
External Auditor,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,Y,Financial Services,2740.0,8734.0,3058.0,10136.0,13-2082,1.3620743346972182,0.4541666666666666,1.2179214676084291,Displaced
Eyelash And Eyebrow Technician,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,N,,,,,39-5094,-0.1802445932619149,0.6108333333333333,-0.1329303875306622,Protected
Fabric Quality Controller,Manufacturing,Manufacture of other textiles,Higher Education,No,No,N,N,,,,,51-9031,-0.957004770554684,0.3483333333333334,-0.957004770554684,Isolated
Facilities Management Assistant,Administrative and Support Service Activities,Landscape care and maintenance service activities,Higher Education,No,Yes,N,N,,,,,37-2011,-1.440933617762003,0.5955555555555555,-1.0847028067041746,Isolated
Facility Cleaning Specialist,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No,Tourism,Tourism,,,,,53-7061,-1.6968081414087133,0.5675,-1.3249243570833038,Isolated
Failure Analysis Technician,Manufacturing,Manufacture of electronic components,Higher Education,No,Yes,Y,Advanced Manufacturing,,,,,53-6041,0.3835605034568007,0.5769444444444444,0.2958743105832043,Displaced
Faith Formation Instructor,Education,Other education services,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,25-2022,1.2731661055605612,0.7202777777777779,0.7996190457423412,Augmented
Faith-Based NGO Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,N,N,,,,,21-1012 ,1.390653349799162,0.6652777777777777,0.9498934964322612,Augmented
Family Life Educator,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,Y,Health,,,,,25-2012,0.3484516434659395,0.6813888888888889,0.2323978877671446,Augmented
Family Welfare Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,Y,Health,,,,,21-1093,0.7806366196871929,0.6691666666666666,0.5301823708708853,Augmented
Farm Equipment Fabricator,Manufacturing,"Manufacture of structural metal products, tanks, reservoirs and steam generators",Not Higher Education,No,No,N,N,,,,,49-9081,-1.049182638556866,0.7641666666666665,-0.6128975246903028,Protected
Farm Operations Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,N,N,615.0,1841.0,1479.0,2625.0,19-4071,-0.6777790981433184,0.7088888888888888,-0.4334020788683109,Protected
Farm Systems Technician,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Higher Education,No,Yes,N,N,,,,,19-4011,1.1962758695210862,0.6164937943262411,0.8754819808756202,Augmented
Farm Technician,"Agriculture, Forestry, and Fishing",Animal production,Higher Education,No,Yes,N,N,,,,,19-4011,1.1962758695210862,0.6164937943262411,0.8754819808756202,Augmented
Farm Tour Assistant,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,Yes,Tourism,Tourism,,,,,39-7012,0.4571220527837438,0.6594444444444444,0.3149063030288013,Augmented
Fashion Designer,Manufacturing,"Manufacture of wearing apparel, except fur apparel",Not Higher Education,No,No,N,N,,,,,27-1029,0.733024170282144,0.5569264403292181,0.580120381099911,Displaced
Fashion Exhibition Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,N,N,,,,,41-2031,0.072872365795889,0.5533333333333333,0.0579335308077317,Displaced
Fashion Merchandising Assistant,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail Sale in Specialized Stores,Higher Education,No,Yes,N,N,,,,,27-3043 ,0.7743766257616718,0.5294444444444445,0.6341284146515023,Displaced
Fiber Optic Cable Technician,Information and Communication,Wired telecommunications activities,Not Higher Education,No,No,N,N,,,,,49-9052,-1.0922437980466209,0.6463888888888889,-0.7666944660177253,Protected
Fiber Optic Technician,Information and Communication,Wired telecommunications activities,Higher Education,No,Yes,N,N,,,,,29-2081,0.1939856726874307,0.6022222222222223,0.1447348657884552,Augmented
Field Agronomist Assistant,"Agriculture, Forestry, and Fishing",Plant propagation,Higher Education,Yes,No,N,N,615.0,1841.0,1479.0,2625.0,19-4011,1.1962758695210862,0.6164937943262411,0.8754819808756202,Augmented
Field Development Associate,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,Y,Health,,,,,13-1151 ,1.1966462559768865,0.6319444444444445,0.8572640817123306,Augmented
Field Engineers,Construction,Construction of buildings,Higher Education,Yes,No,Tourism,Tourism,6180.0,18582.0,6835.0,18436.0,17-2051 ,1.303068832130924,0.6426851851851851,0.9195081083027568,Augmented
Field Science Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,N,,,,,31-9092,0.131317826544596,0.5872222222222223,0.0999474568700536,Displaced
Field Service Technician (Electronics),Manufacturing,Manufacture of consumer electronics,Higher Education,No,Yes,Y,Advanced Manufacturing,,,,,17-3023,0.2307035718843949,0.6161111111111112,0.1689262820797958,Augmented
Filipino Content Strategist,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,N,,,,,27-3031 ,1.2230614224333591,0.6141666666666666,0.8979309276364913,Augmented
Filipino Language Educator,Education,Other Education,Higher Education,No,No,N,N,,,,,25-3099 ,0.8006554663832743,0.695328282828283,0.5228320632627548,Augmented
Filipino Sign Language Interpreter,Other Service Activities,"Other personal service activities, n.e.c.",Not Higher Education,No,No,N,N,,,,,27-3091,1.0640015601650763,0.6288888888888889,0.7654900113409855,Augmented
Film and Video Editor,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,No,N,N,,,,,27-4032 ,0.9134893505999866,0.5563888888888889,0.7234328162668228,Displaced
Finance Assistant (Cooperatives),Financial and Insurance Activities,"Other financial service activities, except insurance and pension funding activities",Higher Education,No,Yes,Y,Financial Services,,,,,43-3031,1.0204933974998105,0.5122222222222222,0.8532458684651194,Displaced
Finance Associate,Financial and Insurance Activities,"Other financial service activities, except insurance and pension funding activities",Higher Education,No,Yes,Y,Financial Services,,,,,43-3031,1.0204933974998105,0.5122222222222222,0.8532458684651194,Displaced
Financial Auditor,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,Y,Financial Services,77777.0,146562.0,68900.0,129928.0,13-2082,1.3620743346972182,0.4541666666666666,1.2179214676084291,Displaced
Finishing Mason,Construction,Construction of buildings,Not Higher Education,No,No,Tourism,Tourism,,,,,47-4091 ,-0.9916104341060964,0.6286111111111111,-0.7136840652135822,Protected
First-Aider,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,Y,Health,,,,,31-9099,-0.5134808423859277,0.5629166666666666,-0.4032964116239474,Isolated
Fish Finder Operator,Manufacturing,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Not Higher Education,No,No,Y,Advanced Manufacturing,,,,,49-9069 ,-1.0922437980466209,0.6663435374149659,-0.7448991249229175,Protected
Fish Packaging Worker,Manufacturing,"Processing and preserving of fish, crustaceans and mollusks",Not Higher Education,No,No,N,N,,,,,51-3091 ,-0.7688751902862945,0.4733333333333334,-0.6727657915005076,Isolated
Fish Processing Technician,"Agriculture, Forestry, and Fishing",Aquaculture,Higher Education,Yes,No,N,N,453.0,1133.0,510.0,995.0,51-3091 ,-0.7688751902862945,0.4733333333333334,-0.6727657915005076,Isolated
Fish Quality Inspector,"Agriculture, Forestry, and Fishing",Fishing,Higher Education,Yes,No,N,N,453.0,1133.0,510.0,995.0,45-2011 ,0.1555959054689412,0.5997222222222222,0.1164808236774435,Augmented
Fishery Operations Assistant,"Agriculture, Forestry, and Fishing",Aquaculture,Higher Education,No,Yes,N,N,,,,,45-2093,-1.1166346396376288,0.5847222222222223,-0.8526746178788449,Isolated
Fishnet Maker,"Agriculture, Forestry, and Fishing",Aquaculture,Not Higher Education,No,No,N,N,,,,,51-6041,-0.8841484845166345,0.4858333333333333,-0.7625780678955973,Isolated
Fitness Instructor,"Arts, Entertainment and Recreation",Sports activities,Higher Education,No,No,N,N,,,,,39-9031,-2.032514091161482,0.6602777777777779,-1.3984826121686085,Protected
Fitness Testing Technician,"Arts, Entertainment and Recreation",Sports activities,Higher Education,No,Yes,N,N,,,,,53-6041,0.3835605034568007,0.5769444444444444,0.2958743105832043,Displaced
Fixed Wireless Broadband Installer,Information and Communication,Wireless telecommunications activities,Not Higher Education,No,No,N,N,,,,,49-9052,-1.0922437980466209,0.6463888888888889,-0.7666944660177253,Protected
Flight Dispatch Officer,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,No,Tourism,Tourism,,,,,43-5032,1.1679053146236258,0.6255555555555555,0.8441360079585207,Augmented
Flight Engineers,Transportation and Storage,Support activities for transportation,Higher Education,No,No,Tourism,Tourism,,,,,53-2012,-0.2057925090763235,0.7225,-0.1287918119302658,Protected
Flight Operations Assistant,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,Yes,Tourism,Tourism,,,,,49-3011,-0.6954195207175982,0.6955555555555555,-0.4539544093573211,Protected
Florist,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,N,,,,,51-9083 ,-0.6074750429114406,0.4725,-0.5320468917499368,Isolated
Food and Beverage Attendant,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,Yes,Tourism,Tourism,,,,,35-3041 ,-0.7755887983642628,0.5930555555555556,-0.5857849840978974,Isolated
Food Processing Worker,Manufacturing,Manufacture of other food products,Not Higher Education,No,No,N,N,,,,,51-3091 ,-0.7688751902862945,0.4733333333333334,-0.6727657915005076,Isolated
Food Product Developer,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,Tourism,Tourism,,,,,35-1012,-0.1489164181781776,0.57,-0.1159066121486815,Isolated
Food Safety Auditor,Manufacturing,Manufacture of other food products,Higher Education,Yes,No,N,N,453.0,1133.0,510.0,995.0,13-1041,0.1292963535410174,0.6092460317460319,0.0955612930437082,Augmented
Food Safety Officer,Accommodation and Food Service Activities,Event catering and other food service activities,Higher Education,No,No,Tourism,Tourism,,,,,53-6051,0.195081275698469,0.6889814814814814,0.1286272003934072,Augmented
