,,,,,,,,,,,,,,,,,,,,,,,,
"Importing 2.1
(Identifier for Regional Reductions)
[Region|Sector|Sub|Job|Program|Type]",Region,Sector,Sub-sector,Job Requirement,Programs,"Program
Type",,Year 2,,,,,,,,,Year 3,,,,,,,
"REGION_VII|MANUFACTURING|HEATING, VENTILATION, AIRCONDITIONING AND REFRIGERATION|RAC TECHNICIAN/ INSTALLERS|COMMERCIAL AIR-CONDITIONING INSTALLATION AND SERVICING NC III|WITH TR",REGION_VII,MANUFACTURING,"HEATING, VENTILATION, AIRCONDITIONING AND REFRIGERATION",RAC TECHNICIAN/ INSTALLERS,COMMERCIAL AIR-CONDITIONING INSTALLATION AND SERVICING NC III,WITH TR,,1,0,0,1,1,4,0,0,,1,0,0,1,1,5,0,0
"REGION_VII|MANUFACTURING|HEATING, VENTILATION, AIRCONDITIONING AND REFRIGERATION|RAC TECHNICIAN/ INSTALLERS|RAC SERVICING (DOMRAC) NC II|WITH TR",REGION_VII,MANUFACTURING,"HEATING, VENTILATION, AIRCONDITIONING AND REFRIGERATION",RAC TECHNICIAN/ INSTALLERS,RAC SERVICING (DOMRAC) NC II,WITH TR,,1,0,0,1,1,2,0,0,,1,0,0,1,1,2,0,0
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|CARBON STEEL PLATE/ PIPE WELDER (MMAW)|MANUAL METAL ARC WELDING (MMAW) NC I|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,CARBON STEEL PLATE/ PIPE WELDER (MMAW),MANUAL METAL ARC WELDING (MMAW) NC I,WITH TR,,0,0,0,0,0,0,0,0,,5,0,0,5,5,0,0,0
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|CARBON STEEL PLATE/ PIPE WELDER (MMAW)|MANUAL METAL ARC WELDING (MMAW) NC III|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,CARBON STEEL PLATE/ PIPE WELDER (MMAW),MANUAL METAL ARC WELDING (MMAW) NC III,WITH TR,,0,0,0,0,0,0,0,1,,5,0,0,5,5,0,0,0
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|CARBON STEEL PLATE/ PIPE WELDER (MMAW)|MANUAL METAL ARC WELDING (MMAW) NC IV|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,CARBON STEEL PLATE/ PIPE WELDER (MMAW),MANUAL METAL ARC WELDING (MMAW) NC IV,WITH TR,,0,0,0,0,0,0,0,0,,5,0,0,5,5,0,0,0
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|FCAW PLATE WELDER (ALLOY STEEL)|FLUX-CORED ARC WELDING (FCAW) NC III|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,FCAW PLATE WELDER (ALLOY STEEL),FLUX-CORED ARC WELDING (FCAW) NC III,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|GAS (OXY-ACETYLENE) WELDER|GAS WELDING NC I|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,GAS (OXY-ACETYLENE) WELDER,GAS WELDING NC I,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|GAS WELDER (OXY-ACETYLENE)|GAS WELDING NC II|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,GAS WELDER (OXY-ACETYLENE),GAS WELDING NC II,WITH TR,,0,0,0,0,0,2,0,0,,0,0,0,0,0,2,0,0
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|GMAW WELDER (ALLOY STEEL)|GAS METAL ARC WELDING (GMAW) NC III|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,GMAW WELDER (ALLOY STEEL),GAS METAL ARC WELDING (GMAW) NC III,WITH TR,,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|GTAW OR TIG PIPE WELDER (ALLOY STEEL)|GAS TUNGSTEN ARC WELDING (GTAW) NC IV|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,GTAW OR TIG PIPE WELDER (ALLOY STEEL),GAS TUNGSTEN ARC WELDING (GTAW) NC IV,WITH TR,,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|GTAW/TIG WELDER|GAS TUNGSTEN ARC WELDING (GTAW) NC II|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,GTAW/TIG WELDER,GAS TUNGSTEN ARC WELDING (GTAW) NC II,WITH TR,,0,0,0,0,0,3,0,0,,0,0,0,0,0,3,0,0
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|INSTRUMENTATION TECHNICIAN|DIPLOMA PROGRAM IN MECHANICAL ENGINEERING TECHNOLOGY|DIPLOMA PROGRAMS,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,INSTRUMENTATION TECHNICIAN,DIPLOMA PROGRAM IN MECHANICAL ENGINEERING TECHNOLOGY,DIPLOMA PROGRAMS,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|MACHINIST|MACHINING NC I|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,MACHINIST,MACHINING NC I,WITH TR,,0,0,0,0,0,2,0,0,,0,0,0,0,0,2,0,0
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|MACHINIST|MACHINING NC II|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,MACHINIST,MACHINING NC II,WITH TR,,0,0,0,0,0,3,0,1,,0,0,0,0,0,3,0,1
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|MILLWRIGHT FITTER|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,MILLWRIGHT FITTER,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|MILLWRIGHT|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,MILLWRIGHT,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|PIPE FITTER|PIPEFITTING (METALLIC) NC II|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,PIPE FITTER,PIPEFITTING (METALLIC) NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|PIPE WELDER (FCAW)|FLUX-CORED ARC WELDING (FCAW) NC II|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,PIPE WELDER (FCAW),FLUX-CORED ARC WELDING (FCAW) NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|PIPE WELDER (GMAW)|GAS METAL ARC WELDING (GMAW) NC II|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,PIPE WELDER (GMAW),GAS METAL ARC WELDING (GMAW) NC II,WITH TR,,0,0,0,0,0,5,0,0,,0,0,0,0,0,6,0,0
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|PIPE WELDER (SAW)|SUBMERGED ARC WELDING (SAW) NC II|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,PIPE WELDER (SAW),SUBMERGED ARC WELDING (SAW) NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|PLATE WELDER (FCAW)|FLUX-CORED ARC WELDING (FCAW) NC I|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,PLATE WELDER (FCAW),FLUX-CORED ARC WELDING (FCAW) NC I,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|PLATE WELDER (GMAW)|GAS METAL ARC WELDING (GMAW) NC I|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,PLATE WELDER (GMAW),GAS METAL ARC WELDING (GMAW) NC I,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|PLATE WELDER (SAW)|SUBMERGED ARC WELDING (SAW) NC I|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,PLATE WELDER (SAW),SUBMERGED ARC WELDING (SAW) NC I,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|PRECISION GRINDING MACHINE OPERATOR|MACHINING NC III|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,PRECISION GRINDING MACHINE OPERATOR,MACHINING NC III,WITH TR,,0,0,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|WELDER|MANUAL METAL ARC WELDING (MMAW) NC II|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,WELDER,MANUAL METAL ARC WELDING (MMAW) NC II,WITH TR,,0,0,0,0,0,0,0,0,,5,0,0,5,5,0,0,0
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|WELDERS (SMAW)|MANUAL METAL ARC WELDING (MMAW) NC II|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,WELDERS (SMAW),MANUAL METAL ARC WELDING (MMAW) NC II,WITH TR,,0,0,0,0,0,0,0,0,,5,0,0,5,5,0,0,0
REGION_VII|MANUFACTURING|PROCESSED FOOD AND BEVERAGES|BAKER|FOOD PRODUCTION (BREAD AND PATISSERIE) NC II|WITH TR,REGION_VII,MANUFACTURING,PROCESSED FOOD AND BEVERAGES,BAKER,FOOD PRODUCTION (BREAD AND PATISSERIE) NC II,WITH TR,,0,0,0,0,0,7,0,0,,3,0,0,3,3,8,0,0
REGION_VII|MANUFACTURING|PROCESSED FOOD AND BEVERAGES|CACAO PROCESSING TECHNICIAN|NO CORRESPONDING TVET PROGRAM|WITH CS,REGION_VII,MANUFACTURING,PROCESSED FOOD AND BEVERAGES,CACAO PROCESSING TECHNICIAN,NO CORRESPONDING TVET PROGRAM,WITH CS,,1,0,0,1,1,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|MANUFACTURING|PROCESSED FOOD AND BEVERAGES|CULINARY|COOKERY NC II|WITH TR,REGION_VII,MANUFACTURING,PROCESSED FOOD AND BEVERAGES,CULINARY,COOKERY NC II,WITH TR,,0,0,0,0,0,8,0,0,,3,0,0,3,3,9,0,0
REGION_VII|MANUFACTURING|PROCESSED FOOD AND BEVERAGES|FURNITURE CARPENTER|CARPENTRY NC III|WITH TR,REGION_VII,MANUFACTURING,PROCESSED FOOD AND BEVERAGES,FURNITURE CARPENTER,CARPENTRY NC III,WITH TR,,0,0,0,0,0,2,0,0,,1,0,0,1,1,2,0,0
REGION_VII|MANUFACTURING|PROCESSED FOOD AND BEVERAGES|KITCHEN SUPERVISOR|FOOD PRODUCTION (PROFESSIONAL COOKERY) NC III|WITH TR,REGION_VII,MANUFACTURING,PROCESSED FOOD AND BEVERAGES,KITCHEN SUPERVISOR,FOOD PRODUCTION (PROFESSIONAL COOKERY) NC III,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|MANUFACTURING|PROCESSED FOOD AND BEVERAGES|SOUS CHEF|FOOD PRODUCTION (PROFESSIONAL COOKERY) NC IV|WITH TR,REGION_VII,MANUFACTURING,PROCESSED FOOD AND BEVERAGES,SOUS CHEF,FOOD PRODUCTION (PROFESSIONAL COOKERY) NC IV,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|MANUFACTURING|SHIPBUILDING|FITTERS|PIPEFITTING (METALLIC) NC II|WITH TR,REGION_VII,MANUFACTURING,SHIPBUILDING,FITTERS,PIPEFITTING (METALLIC) NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|MANUFACTURING|SHIPBUILDING|PAINTERS|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,MANUFACTURING,SHIPBUILDING,PAINTERS,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|MANUFACTURING|SHIPBUILDING|SANDBLASTERS|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,MANUFACTURING,SHIPBUILDING,SANDBLASTERS,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|MANUFACTURING|SHIPBUILDING|WELDERS (FCAW)|FLUX-CORED ARC WELDING (FCAW) NC II|WITH TR,REGION_VII,MANUFACTURING,SHIPBUILDING,WELDERS (FCAW),FLUX-CORED ARC WELDING (FCAW) NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|MANUFACTURING|SHIPBUILDING|WELDERS (SMAW)|MANUAL METAL ARC WELDING (MMAW) NC I|WITH TR,REGION_VII,MANUFACTURING,SHIPBUILDING,WELDERS (SMAW),MANUAL METAL ARC WELDING (MMAW) NC I,WITH TR,,0,0,0,0,0,0,0,0,,1,0,0,1,1,0,0,0
REGION_VII|MANUFACTURING|SHIPBUILDING|WELDERS (SMAW)|MANUAL METAL ARC WELDING (MMAW) NC II|WITH TR,REGION_VII,MANUFACTURING,SHIPBUILDING,WELDERS (SMAW),MANUAL METAL ARC WELDING (MMAW) NC II,WITH TR,,0,0,0,0,0,0,0,0,,1,0,0,1,1,0,0,0
REGION_VII|MANUFACTURING|SHIPBUILDING|WELDERS (SMAW)|MANUAL METAL ARC WELDING (MMAW) NC III|WITH TR,REGION_VII,MANUFACTURING,SHIPBUILDING,WELDERS (SMAW),MANUAL METAL ARC WELDING (MMAW) NC III,WITH TR,,0,0,0,0,0,0,0,0,,1,0,0,1,1,0,0,0
REGION_VII|MANUFACTURING|SHIPBUILDING|WELDERS (SMAW)|MANUAL METAL ARC WELDING (MMAW) NC IV|WITH TR,REGION_VII,MANUFACTURING,SHIPBUILDING,WELDERS (SMAW),MANUAL METAL ARC WELDING (MMAW) NC IV,WITH TR,,0,0,0,0,0,0,0,0,,1,0,0,1,1,0,0,0
REGION_VII|MANUFACTURING|SHIPBUILDING|WIREBRUSHERS|MANUAL METAL ARC WELDING (MMAW) NC I|WITH TR,REGION_VII,MANUFACTURING,SHIPBUILDING,WIREBRUSHERS,MANUAL METAL ARC WELDING (MMAW) NC I,WITH TR,,0,0,0,0,0,0,0,0,,1,0,0,1,1,0,0,0
"REGION_VII|MARITIME|CREW AND VESSEL SERVICES, MARITIME HOSPITALITY|MESSMAN|SHIP'S CATERING SERVICES NC I|WITH TR",REGION_VII,MARITIME,"CREW AND VESSEL SERVICES, MARITIME HOSPITALITY",MESSMAN,SHIP'S CATERING SERVICES NC I,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
"REGION_VII|MARITIME|CREW AND VESSEL SERVICES, MARITIME HOSPITALITY|SHIPS’ COOK|SHIPS' CATERING NC III (SHIPS' COOKS)|WITH TR",REGION_VII,MARITIME,"CREW AND VESSEL SERVICES, MARITIME HOSPITALITY",SHIPS’ COOK,SHIPS' CATERING NC III (SHIPS' COOKS),WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|METALS AND ENGINEERING|MACHINING AND METALWORKING|CNC LATHE MACHINE OPERATOR (BASIC)|CNC LATHE MACHINE OPERATION NC II|WITH TR,REGION_VII,METALS AND ENGINEERING,MACHINING AND METALWORKING,CNC LATHE MACHINE OPERATOR (BASIC),CNC LATHE MACHINE OPERATION NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|METALS AND ENGINEERING|MACHINING AND METALWORKING|CNC MILLING MACHINE OPERATOR (BASIC)|CNC MILLING MACHINE OPERATION NC II|WITH TR,REGION_VII,METALS AND ENGINEERING,MACHINING AND METALWORKING,CNC MILLING MACHINE OPERATOR (BASIC),CNC MILLING MACHINE OPERATION NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|METALS AND ENGINEERING|METALS AND ENGINEERING|AUSTENITIC STAINLESS STEEL PLATE/ PIPE WELDER (MMAW)|MANUAL METAL ARC WELDING (MMAW) NC IV|WITH TR,REGION_VII,METALS AND ENGINEERING,METALS AND ENGINEERING,AUSTENITIC STAINLESS STEEL PLATE/ PIPE WELDER (MMAW),MANUAL METAL ARC WELDING (MMAW) NC IV,WITH TR,,0,0,0,0,0,0,0,0,,5,0,0,5,5,0,0,0
REGION_VII|METALS AND ENGINEERING|METALS AND ENGINEERING|CARBON STEEL PLATE/ PIPE WELDER (MMAW)|MANUAL METAL ARC WELDING (MMAW) NC I|WITH TR,REGION_VII,METALS AND ENGINEERING,METALS AND ENGINEERING,CARBON STEEL PLATE/ PIPE WELDER (MMAW),MANUAL METAL ARC WELDING (MMAW) NC I,WITH TR,,0,0,0,0,0,6,0,0,,5,0,0,5,5,8,0,0
REGION_VII|METALS AND ENGINEERING|METALS AND ENGINEERING|CARBON STEEL PLATE/ PIPE WELDER (MMAW)|MANUAL METAL ARC WELDING (MMAW) NC II|WITH TR,REGION_VII,METALS AND ENGINEERING,METALS AND ENGINEERING,CARBON STEEL PLATE/ PIPE WELDER (MMAW),MANUAL METAL ARC WELDING (MMAW) NC II,WITH TR,,0,0,0,0,0,6,0,0,,5,0,0,5,5,8,0,0
REGION_VII|METALS AND ENGINEERING|METALS AND ENGINEERING|CARBON STEEL PLATE/ PIPE WELDER (MMAW)|MANUAL METAL ARC WELDING (MMAW) NC III|WITH TR,REGION_VII,METALS AND ENGINEERING,METALS AND ENGINEERING,CARBON STEEL PLATE/ PIPE WELDER (MMAW),MANUAL METAL ARC WELDING (MMAW) NC III,WITH TR,,0,0,0,0,0,6,0,0,,5,0,0,5,5,8,0,0
REGION_VII|METALS AND ENGINEERING|METALS AND ENGINEERING|FCAW PLATE & PIPE WELDER ( ALLOY STEEL)|FLUX-CORED ARC WELDING (FCAW) NC III|WITH TR,REGION_VII,METALS AND ENGINEERING,METALS AND ENGINEERING,FCAW PLATE & PIPE WELDER ( ALLOY STEEL),FLUX-CORED ARC WELDING (FCAW) NC III,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|METALS AND ENGINEERING|METALS AND ENGINEERING|GAS (OXY-ACETYLENE) WELDER|GAS WELDING NC I|WITH TR,REGION_VII,METALS AND ENGINEERING,METALS AND ENGINEERING,GAS (OXY-ACETYLENE) WELDER,GAS WELDING NC I,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|METALS AND ENGINEERING|METALS AND ENGINEERING|GAS WELDER (OXY-ACETYLENE)|GAS WELDING NC II|WITH TR,REGION_VII,METALS AND ENGINEERING,METALS AND ENGINEERING,GAS WELDER (OXY-ACETYLENE),GAS WELDING NC II,WITH TR,,0,0,0,0,0,2,0,0,,0,0,0,0,0,2,0,0
REGION_VII|METALS AND ENGINEERING|METALS AND ENGINEERING|GMAW PLATE & PIPE WELDER ( ALLOY STEEL)|GAS METAL ARC WELDING (GMAW) NC III|WITH TR,REGION_VII,METALS AND ENGINEERING,METALS AND ENGINEERING,GMAW PLATE & PIPE WELDER ( ALLOY STEEL),GAS METAL ARC WELDING (GMAW) NC III,WITH TR,,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0
REGION_VII|METALS AND ENGINEERING|METALS AND ENGINEERING|GTAW/TIG PIPE & PLATE WELDER (ALLOY STEEL)|GAS TUNGSTEN ARC WELDING (GTAW) NC IV|WITH TR,REGION_VII,METALS AND ENGINEERING,METALS AND ENGINEERING,GTAW/TIG PIPE & PLATE WELDER (ALLOY STEEL),GAS TUNGSTEN ARC WELDING (GTAW) NC IV,WITH TR,,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0
REGION_VII|METALS AND ENGINEERING|METALS AND ENGINEERING|GTAW/TIG WELDER|GAS TUNGSTEN ARC WELDING (GTAW) NC II|WITH TR,REGION_VII,METALS AND ENGINEERING,METALS AND ENGINEERING,GTAW/TIG WELDER,GAS TUNGSTEN ARC WELDING (GTAW) NC II,WITH TR,,0,0,0,0,0,4,0,0,,0,0,0,0,0,3,0,0
REGION_VII|METALS AND ENGINEERING|METALS AND ENGINEERING|INSTRUMENTATION AND AUTOMATION TECHNICIAN (LEVEL 1)|INSTRUMENTATION AND CONTROL SERVICING NC II|WITH TR,REGION_VII,METALS AND ENGINEERING,METALS AND ENGINEERING,INSTRUMENTATION AND AUTOMATION TECHNICIAN (LEVEL 1),INSTRUMENTATION AND CONTROL SERVICING NC II,WITH TR,,0,0,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
REGION_VII|METALS AND ENGINEERING|METALS AND ENGINEERING|INSTRUMENTATION AND AUTOMATION TECHNICIAN (LEVEL 2)|INSTRUMENTATION AND CONTROL SERVICING NC III|WITH TR,REGION_VII,METALS AND ENGINEERING,METALS AND ENGINEERING,INSTRUMENTATION AND AUTOMATION TECHNICIAN (LEVEL 2),INSTRUMENTATION AND CONTROL SERVICING NC III,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|METALS AND ENGINEERING|METALS AND ENGINEERING|INSTRUMENTATION AND AUTOMATION TECHNICIAN (LEVEL 3)|INSTRUMENTATION AND CONTROL SERVICING NC IV|WITH TR,REGION_VII,METALS AND ENGINEERING,METALS AND ENGINEERING,INSTRUMENTATION AND AUTOMATION TECHNICIAN (LEVEL 3),INSTRUMENTATION AND CONTROL SERVICING NC IV,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
"REGION_VII|METALS AND ENGINEERING|METALS AND ENGINEERING|MACHINES OPERATOR, WELDER/FABRICATOR, MECHANICAL TECHNICIAN, CAD/CAM OPERATOR, CNC LATHE PROGRAMMER, CNC MILLING PROGRAMMER, ASSISTANT SUPERVISOR, ASSISTANT TRAINER, ENTREPRENEUR|DIPLOMA PROGRAM IN MECHANICAL TECHNOLOGY|DIPLOMA PROGRAMS",REGION_VII,METALS AND ENGINEERING,METALS AND ENGINEERING,"MACHINES OPERATOR, WELDER/FABRICATOR, MECHANICAL TECHNICIAN, CAD/CAM OPERATOR, CNC LATHE PROGRAMMER, CNC MILLING PROGRAMMER, ASSISTANT SUPERVISOR, ASSISTANT TRAINER, ENTREPRENEUR",DIPLOMA PROGRAM IN MECHANICAL TECHNOLOGY,DIPLOMA PROGRAMS,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
"REGION_VII|METALS AND ENGINEERING|METALS AND ENGINEERING|MECHANICAL INSPECTOR METAL ENGINEERING DESIGN TECHNOLOGIST MATERIALS TESTING TECHNOLOGIST. MECHANICAL COORDINATOR, FOREMAN, OR SUPERINTENDENT ESTIMATOR TECHNICAL REPRESENTATIVE FIELD TECHNICAL ASSISTANT DRAFTSMAN/CAD OPERATOR|DIPLOMA PROGRAM IN MECHANICAL ENGINEERING TECHNOLOGY|DIPLOMA PROGRAMS",REGION_VII,METALS AND ENGINEERING,METALS AND ENGINEERING,"MECHANICAL INSPECTOR METAL ENGINEERING DESIGN TECHNOLOGIST MATERIALS TESTING TECHNOLOGIST. MECHANICAL COORDINATOR, FOREMAN, OR SUPERINTENDENT ESTIMATOR TECHNICAL REPRESENTATIVE FIELD TECHNICAL ASSISTANT DRAFTSMAN/CAD OPERATOR",DIPLOMA PROGRAM IN MECHANICAL ENGINEERING TECHNOLOGY,DIPLOMA PROGRAMS,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|METALS AND ENGINEERING|METALS AND ENGINEERING|PIPE WELDER (SAW)|SUBMERGED ARC WELDING (SAW) NC II|WITH TR,REGION_VII,METALS AND ENGINEERING,METALS AND ENGINEERING,PIPE WELDER (SAW),SUBMERGED ARC WELDING (SAW) NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|METALS AND ENGINEERING|METALS AND ENGINEERING|PIPEFITTER|PIPEFITTING (METALLIC) NC II|WITH TR,REGION_VII,METALS AND ENGINEERING,METALS AND ENGINEERING,PIPEFITTER,PIPEFITTING (METALLIC) NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|METALS AND ENGINEERING|METALS AND ENGINEERING|PLATE & PIPE WELDER (FCAW)|FLUX-CORED ARC WELDING (FCAW) NC II|WITH TR,REGION_VII,METALS AND ENGINEERING,METALS AND ENGINEERING,PLATE & PIPE WELDER (FCAW),FLUX-CORED ARC WELDING (FCAW) NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|METALS AND ENGINEERING|METALS AND ENGINEERING|PLATE & PIPE WELDER (GMAW)|GAS METAL ARC WELDING (GMAW) NC II|WITH TR,REGION_VII,METALS AND ENGINEERING,METALS AND ENGINEERING,PLATE & PIPE WELDER (GMAW),GAS METAL ARC WELDING (GMAW) NC II,WITH TR,,0,0,0,0,0,6,0,0,,0,0,0,0,0,6,0,0
REGION_VII|METALS AND ENGINEERING|METALS AND ENGINEERING|PLATE WELDER (FCAW)|FLUX-CORED ARC WELDING (FCAW) NC I|WITH TR,REGION_VII,METALS AND ENGINEERING,METALS AND ENGINEERING,PLATE WELDER (FCAW),FLUX-CORED ARC WELDING (FCAW) NC I,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|METALS AND ENGINEERING|METALS AND ENGINEERING|PLATE WELDER (GMAW)|GAS METAL ARC WELDING (GMAW) NC I|WITH TR,REGION_VII,METALS AND ENGINEERING,METALS AND ENGINEERING,PLATE WELDER (GMAW),GAS METAL ARC WELDING (GMAW) NC I,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|METALS AND ENGINEERING|METALS AND ENGINEERING|PLATE WELDER (SAW)|SUBMERGED ARC WELDING (SAW) NC I|WITH TR,REGION_VII,METALS AND ENGINEERING,METALS AND ENGINEERING,PLATE WELDER (SAW),SUBMERGED ARC WELDING (SAW) NC I,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|OTHERS|CULTURAL EXCHANGE AND INTERNATIONAL RELATION|SKILL IN JAPANESE LANGUAGE|LANGUAGE A1 LEVEL|WITH CS,REGION_VII,OTHERS,CULTURAL EXCHANGE AND INTERNATIONAL RELATION,SKILL IN JAPANESE LANGUAGE,LANGUAGE A1 LEVEL,WITH CS,,6,1,0,7,7,4,0,0,,1,2,0,3,3,2,0,0
REGION_VII|OTHERS|FURNITURE/SOUVENIRS/UPCYCLING|PRODUCT DESIGNER|WOOD CARVING LEVEL II|WITH CS,REGION_VII,OTHERS,FURNITURE/SOUVENIRS/UPCYCLING,PRODUCT DESIGNER,WOOD CARVING LEVEL II,WITH CS,,2,1,0,3,3,3,0,0,,1,0,0,1,1,1,0,0
