,SOC,AIOE
45136,29-2057,0.0716434602135078
45240,29-2061,-0.5020165430704178
45344,29-2081,0.1939856726874307
45448,29-2091,0.08967015499053708
45552,29-2092,0.5312022668213437
45656,29-2099,0.2940460888886737
45968,29-9091,-0.3670250164734894
46072,29-9092,1.5056696701614034
46176,29-9093,-0.7762361377102548
46280,29-9099,0.19297368596294395
46384,31-1121,-0.655578490411111
46488,31-1122,-0.5834821860890511
46592,31-1131,-0.9840422352903921
46696,31-1132,-1.6844997229547831
46800,31-1133,-0.540873904410861
46904,31-2011,-0.5133455286527248
47008,31-2012,-0.8560827939784549
47112,31-2021,-0.5865618642248983
47216,31-2022,-0.8221521408952992
47320,31-9011,-1.471164493027073
47424,31-9091,-0.4413828025834359
47528,31-9092,0.131317826544596
47632,31-9093,-0.7410017585786853
47736,31-9094,0.9047843345926271
47840,31-9095,-0.1684019712449657
47944,31-9096,-0.8265822627679962
48048,31-9097,-0.29036325575392496
48256,31-9099,-0.5134808423859277
48360,33-1011,-0.5994920146691088
48464,33-1012,-0.2159519794922979
48568,33-1021,-0.7070007095824926
48672,33-1091,0.05222706758574884
48776,33-2011,-1.2762872583675486
48880,33-2021,0.033422447961017517
48984,33-2022,-0.22728022678333865
49088,33-3011,-0.6381368771892233
49192,33-3012,-0.9327826046490993
49400,33-3021,0.11373497890248084
49608,33-3031,-0.4701705234906444
49712,33-3041,-0.6347397718082552
49816,33-3051,-0.7219361463874624
50024,33-3052,-0.8302954035397645
50128,33-9011,-0.6673467920685605
50232,33-9021,0.7303982592524635
50336,33-9031,0.7106225288460828
50440,33-9032,-0.4274026610885805
50544,33-9091,-0.5810379584311874
50648,33-9092,-0.6377907768145185
50752,33-9093,-0.5182191975946915
50856,33-9099,0.0620205340835998
50960,35-1011,-0.306252842784861
51064,35-1012,-0.14891641817817763
51168,35-2011,-0.7235254070504257
51272,35-2012,-0.6467460102568056
51376,35-2013,-0.7600232382778748
51480,35-2014,-0.8922594054487326
51584,35-2015,-0.8399002113230043
51688,35-2021,-1.118459424175125
51792,35-3011,-0.6267809371496645
51896,35-3023,-0.49634828624758354
52104,35-3031,-0.9824053006655955
52208,35-3041,-0.7755887983642628
52312,35-9011,-1.826941747515469
52416,35-9021,-1.8823365667093912
52520,35-9031,-0.09804329773913546
52624,37-1011,-0.5409268890934459
52728,37-1012,-0.6054593095615858
52832,37-2011,-1.440933617762003
52936,37-2012,-1.5305556839912478
53040,37-2021,-0.7357533787458238
53144,37-3011,-1.8287827060679442
53248,37-3012,-0.894157620748296
53352,37-3013,-1.7320982950419663
53456,39-1013,-0.025156317975226154
53560,39-1022,0.26531617885655184
53664,39-2011,-0.9260374246278368
53768,39-2021,-0.8984382197853837
53872,39-3011,0.046347947594192695
